ID,Stock Code,UPC Full,Name,Size,Default Qty,unit cost,latest cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Bottle Deposit,Do Not Track Inventory,Add To Shortcut Keys,Don Not Discount,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No
"5961","8516713309","685167133091","OPPORTUNITY BREWING GOLDEN 16OZ","16OZ","1","2.51","2.50","3.99","4","10.04","9.84","13.99","Tax","MICRO BREWS","BEER","OPPO","16.00","16.00","37.09","0","0","D","0","general",,"21048","24","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5962","1788819122","717888191224","HESS LION TAMBER CAB NAPA VALLEY 750ML","750ML","1","40.62","37.33","41.99","","","","","Tax","WINE CABERNET","WINE","ALLIED","30.00","30.00","3.26","0","0","D","0","general",,"21047","6","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5963","8224216243","082242162432","BLACK STALLION CAB SAUV 750ML","750ML","1","23.01","23.01","26.99","","","","","Tax","WINE CABERNET","WINE","FEDW","11.00","11.00","14.75","12.0","2","B","0","general",,"21049","12","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5964","9807900114","898079001147","EDUCATED GUESS CA CAB 750ML","750ML","1","12","12","13.99","","","","","Tax","WINE CABERNET","WINE","FEDW","0.00","0.00","14.22","0","0","D","0","general",,"21050","12","",,,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5965","8600327802","086003278028","UNSHACKLED CAB 750ML","750ML","1","24.09","24.09","24.99","","","","","Tax","WINE CABERNET","WINE","ALLIED","1.00","1.00","3.60","0","0","D","0","general",,"21051","12","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5966","8600325524","086003255241","UNSHACKLED PINOT NOIR 750ML","750ML","1","24.09","24.09","24.99","","","","","Tax","WINE CABERNET","WINE","ALLIED","10.00","10.00","3.60","0","0","D","0","general",,"21052","12","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5967","8787263363","087872633635","STELLA ROSA HONEY PEACH GOLDEN 750ML","750ML","1","11.09","11.09","12.99","","","","","Tax","WINE ITALIAN","WINE","ALLIED","0.00","0.00","14.63","0","0","D","0","general",,"21053","12","",,1,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5968","8800405435","088004054359","ORIGINAL COCKTAILS DIRTY MARTINI 375ML","375ML","1","7.14","7.14","9.99","","","","","Tax","RTD COCKTAILS","LIQUOR","FEDW","0.00","0.00","28.53","0","0","D","0","general",,"21054","12","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5969","8800405433","088004054335","ORIGINAL COCKTAILS OLD FASHIONED 375ML","375ML","1","7.16","7.16","9.99","","","","","Tax","RTD COCKTAILS","LIQUOR","FEDW","1.00","1.00","28.33","0","0","D","0","general",,"21056","12","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5970","8800405432","088004054328","ORIGINAL COCKTAILS MAI TAI 375ML","375ML","1","7.14","7.14","9.99","","","","","Tax","RTD COCKTAILS","LIQUOR","FEDW","0.00","0.00","28.53","0","0","D","0","general",,"21055","12","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5971","8800405434","088004054342","ORIGINAL COCKTAILS MANHATTAN 375ML","375ML","1","7.15","7.15","9.99","","","","","Tax","RTD COCKTAILS","LIQUOR","FEDW","3.00","3.00","28.43","0","0","D","0","general",,"21057","12","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
"5972","8200072908","082000729082","SMIRNOFF ICE PARTY 12PK 12OZ","12OZ","1","14.31","14.25","18.99","","","","","Tax","RTD COCKTAILS","LIQUOR","HIGRADE","10.00","10.00","24.64","0","0","D","0","general",,"21059","2","",,0,,"0","0",Inventory Item,"",,,"0","1",1,,,
